input_desc,predicted_desc,source_file,target_desc,correct
"beverages, nestle, boost plus, nutritional drink, ready-to-drink","sports drink, coca-cola, powerade, lemon-lime flavored, ready-to-drink",food_matches_1001_to_2000.txt,"beverages, fruit juice drink, reduced sugar, with vitamin e added",False
"potatoes, mashed, ready-to-eat","turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",food_matches_1001_to_2000.txt,"potatoes, hashed brown, home-prepared",False
"cabbage, kimchi","cabbage, red, raw",food_matches_1001_to_2000.txt,"cabbage, cooked",False
"guava nectar, with sucralose, canned","guava nectar, canned",food_matches_1001_to_2000.txt,"guava nectar, canned",True
"sauce, horseradish","sauce, tomato chili sauce, bottled, with salt",food_matches_1001_to_2000.txt,"sauce, worcestershire",False
"cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber","cake, snack cakes, cupcakes, chocolate, with frosting, low-fat",food_matches_1001_to_2000.txt,"cake, snack cakes, cupcakes, chocolate, with frosting, low-fat",True
"blueberries, dried, sweetened","cranberries, dried, sweetened",food_matches_1001_to_2000.txt,"blueberries, frozen, sweetened",False
"pizza, cheese topping, thin crust, frozen, cooked","pizza, cheese topping, regular crust, frozen, cooked",food_matches_1001_to_2000.txt,"pizza, cheese topping, regular crust, frozen, cooked",True
"turkey from whole, light meat, meat only, with added solution, cooked, roasted","turkey, whole, meat only, raw",food_matches_1001_to_2000.txt,"turkey breast, low salt, prepackaged or deli, luncheon meat",False
"strawberries, frozen, unsweetened (includes foods for usda's food distribution program)","rice, brown, long-grain, raw (includes foods for usda's food distribution program)",food_matches_1001_to_2000.txt,"strawberries, frozen, unsweetened",False
"crackers, multigrain","cookies, animal crackers (includes arrowroot, tea biscuits)",food_matches_1001_to_2000.txt,"crackers, rusk toast",False
"bread, wheat, sprouted","bread, wheat, white wheat",food_matches_1001_to_2000.txt,"bread, wheat with rye",False
"fast foods, fried chicken, wing, meat and skin and breading","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, wing, flesh and skin, raw",False
"chicken patty, frozen, cooked","pizza, meat and vegetable topping, rising crust, frozen, cooked",food_matches_1001_to_2000.txt,"chicken pot pie, frozen entree, prepared",False
"crackers, cheese, whole grain","crackers, standard snack-type, sandwich, with cheese filling",food_matches_1001_to_2000.txt,"crackers, cheese, reduced fat",False
"fast foods, chicken tenders","fast foods, chicken fillet sandwich, with cheese",food_matches_1001_to_2000.txt,"fast foods, chicken fillet sandwich, with cheese",True
"lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, cooked","beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",food_matches_1001_to_2000.txt,"lambsquarters, cooked, boiled, drained, without salt",False
"turkey breast, sliced, prepackaged","turkey, breast, boiled/smoked, sliced",food_matches_1001_to_2000.txt,"turkey, breast, boiled/smoked, sliced",True
"fast foods, fried chicken, drumstick, meat and skin with breading","fast foods, grilled chicken filet sandwich, with lettuce, tomato and spread",food_matches_1001_to_2000.txt,"chicken, drumstick, flesh and skin, raw",False
"turkey, ground, cooked","turkey sausage, fresh, cooked",food_matches_1001_to_2000.txt,"turkey sausage, fresh, cooked",True
"beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw","beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",food_matches_1001_to_2000.txt,"beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",True
"beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw","beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",food_matches_1001_to_2000.txt,"beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",False
"restaurant, chinese, chicken and vegetables","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"restaurant, chinese, chicken chow mein",False
"jams, preserves, marmalade, reduced sugar","beverages, fruit juice drink, reduced sugar, with vitamin e added",food_matches_1001_to_2000.txt,"jams and preserves, apricot",False
rice crackers,"rice cake, cracker (include hain mini rice cakes)",food_matches_1001_to_2000.txt,"rice groats, raw",False
"fast food, biscuit","fast foods, biscuit, with egg, cheese, and bacon",food_matches_1001_to_2000.txt,"fast foods, biscuit, with ham",False
"sausage, pork, chorizo, link or ground, cooked, pan-fried","pork sausage, fresh, cooked",food_matches_1001_to_2000.txt,"sausage, vienna, canned, chicken, beef, pork",False
"tortillas, ready-to-bake or -fry, whole wheat","tortillas, ready-to-bake or -fry, flour, shelf stable",food_matches_1001_to_2000.txt,"tortillas, ready-to-bake or -fry, flour, shelf stable",True
"cereals ready-to-eat, nature's path, organic flax plus flakes","cereals ready-to-eat, nature's path, optimum",food_matches_1001_to_2000.txt,"cereals ready-to-eat, nature's path, optimum",True
"pizza rolls, frozen, unprepared","pizza, meat and vegetable topping, rising crust, frozen, cooked",food_matches_1001_to_2000.txt,"pizza, frozen, average values",False
"bacon, turkey, microwaved","turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",food_matches_1001_to_2000.txt,"pork, cured, bacon, cooked, microwaved",False
"cookies, sugar wafer, chocolate-covered","cookies, sugar wafers with creme filling, regular",food_matches_1001_to_2000.txt,"cookies, sugar wafers with creme filling, regular",True
"restaurant, family style, coleslaw","restaurant, family style, fried mozzarella sticks",food_matches_1001_to_2000.txt,"restaurant, family style, sirloin steak",False
"sauce, enchilada, red, mild, ready to serve","sauce, tomato chili sauce, bottled, with salt",food_matches_1001_to_2000.txt,"sauce, salsa, verde, ready-to-serve",False
"cookie, chocolate, with icing or coating","cake, chocolate, commercially prepared with chocolate frosting, in-store bakery",food_matches_1001_to_2000.txt,"cookies, chocolate sandwich, with extra creme filling",False
"rolls, dinner, sweet","rolls, dinner, rye",food_matches_1001_to_2000.txt,"rolls, dinner, rye",True
"soup, beef barley, ready to serve","soup, beef broth or bouillon canned, ready-to-serve",food_matches_1001_to_2000.txt,"soup, beef broth or bouillon canned, ready-to-serve",True
"restaurant, chinese, orange chicken","restaurant, chinese, chicken chow mein",food_matches_1001_to_2000.txt,"restaurant, chinese, lemon chicken",False
"jams, preserves, marmalades, sweetened with fruit juice","fruit flavored drink containing less than 3% fruit juice, with high vitamin c",food_matches_1001_to_2000.txt,"cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",False
"beverages, chocolate powder, no sugar added","beverages, fruit juice drink, reduced sugar, with vitamin e added",food_matches_1001_to_2000.txt,"beverage, instant breakfast powder, chocolate, not reconstituted",False
"snacks, potato chips, lightly salted","snacks, potato chips, plain, salted",food_matches_1001_to_2000.txt,"snacks, potato chips, plain, unsalted",False
"lamb, ground, cooked, broiled","beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",food_matches_1001_to_2000.txt,"lambs quarters, cooked, boiled, drained, with salt",False
"cookies, coconut macaroon","archway home style cookies, coconut macaroon",food_matches_1001_to_2000.txt,"archway home style cookies, coconut macaroon",True
"jellies, no sugar (with sodium saccharin), any flavors","jams and preserves, dietetic (with sodium saccharin), any flavor",food_matches_1001_to_2000.txt,"jams and preserves, dietetic (with sodium saccharin), any flavor",True
"ice cream bar, stick or nugget, with crunch coating","ice cream, bar or stick, chocolate covered",food_matches_1001_to_2000.txt,"ice creams, breyers, all natural light french chocolate",False
"turkey ham, sliced, extra lean, prepackaged or deli-sliced","ham, sliced, prepackaged (96% fat free, water added)",food_matches_1001_to_2000.txt,"turkey breast, low salt, prepackaged or deli, luncheon meat",False
"peppers, hot pickled, canned","peppers, hot chili, red, raw",food_matches_1001_to_2000.txt,"peppers, chili, green, canned",False
"beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted","beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",food_matches_1001_to_2000.txt,"beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",True
"salad dressing, mayonnaise-type, light","salad dressing, mayonnaise, light",food_matches_1001_to_2000.txt,"salad dressing, mayonnaise, light",True
"frankfurter, meat and poultry, unheated","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"frankfurter, meat, heated",False
"bread, cinnamon","bread, white, commercially prepared (includes soft bread crumbs)",food_matches_1001_to_2000.txt,"bread, oat bran",False
"canadian bacon, cooked, pan-fried","pork, cured, bacon, cooked, pan-fried",food_matches_1001_to_2000.txt,"pork, cured, bacon, cooked, pan-fried",True
"cookies, brownies, commercially prepared, reduced fat, with added fiber","milk, chocolate, fluid, commercial, reduced fat, with added vitamin a and vitamin d",food_matches_1001_to_2000.txt,"cookies, brownies, commercially prepared",False
"mayonnaise, reduced fat, with olive oil","margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin d",food_matches_1001_to_2000.txt,"mayonnaise, reduced-calorie or diet, cholesterol-free",False
"kielbasa, fully cooked, grilled","beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",food_matches_1001_to_2000.txt,"kielbasa, polish, turkey and beef, smoked",False
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw","beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",food_matches_1001_to_2000.txt,"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",True
"bread, french or vienna, whole wheat","bread, wheat, white wheat",food_matches_1001_to_2000.txt,"bread, french or vienna (includes sourdough)",False
"game meat, bison, separable lean only, cooked, roasted","game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",food_matches_1001_to_2000.txt,"game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",True
"fast foods, breakfast burrito, with egg, cheese, and sausage","fast foods, bagel, with breakfast steak, egg, cheese, and condiments",food_matches_1001_to_2000.txt,"fast foods, bagel, with breakfast steak, egg, cheese, and condiments",True
"fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato","fast foods, grilled chicken filet sandwich, with lettuce, tomato and spread",food_matches_1001_to_2000.txt,"fast foods, submarine sandwich, with roast beef",False
"macaroni or noodles with cheese, microwaveable, unprepared","macaroni and cheese dinner with dry sauce mix, boxed, uncooked",food_matches_1001_to_2000.txt,"macaroni and cheese dinner with dry sauce mix, boxed, uncooked",True
"sweet potatoes, french fried, frozen as packaged, salt added in processing","potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",food_matches_1001_to_2000.txt,"potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",False
"turkey, all classes, light meat, cooked, roasted","beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",food_matches_1001_to_2000.txt,"turkey, whole, meat only, raw",False
"chicken, broilers or fryers, wing, meat and skin, cooked, roasted","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",False
"chicken, broilers or fryers, thigh, meat and skin, cooked, roasted","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",False
"chicken, broiler, rotisserie, bbq, thigh, meat and skin","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",False
"chicken, broiler, rotisserie, bbq, breast, meat and skin","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",False
"beverages, abbott, eas whey protein powder","protein supplement, milk based, muscle milk, powder",food_matches_1001_to_2000.txt,"beverages, tea, herb, other than chamomile, brewed",False
"chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",False
"chicken, broilers or fryers, thigh, meat only, cooked, roasted","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"beverages, protein powder soy based","protein supplement, milk based, muscle milk, powder",food_matches_1001_to_2000.txt,"beverages, tea, hibiscus, brewed",False
"chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"syrup, nestle, chocolate","cake, chocolate, commercially prepared with chocolate frosting, in-store bakery",food_matches_1001_to_2000.txt,"syrups, chocolate, fudge-type",False
"chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"chicken, broilers or fryers, drumstick, meat only, cooked, braised","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"beverages, tropical punch, ready-to-drink","sports drink, coca-cola, powerade, lemon-lime flavored, ready-to-drink",food_matches_1001_to_2000.txt,"beverages, tea, hibiscus, brewed",False
"chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"beverages, aloe vera juice drink, fortified with vitamin c","beverages, fruit juice drink, reduced sugar, with vitamin e added",food_matches_1001_to_2000.txt,"beverages, fruit juice drink, reduced sugar, with vitamin e added",True
"chicken, broilers or fryers, thigh, meat and skin, raw","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, breast, flesh and skin, raw",False
"beverages, whey protein powder isolate","protein supplement, milk based, muscle milk, powder",food_matches_1001_to_2000.txt,"beverages, tea, herb, other than chamomile, brewed",False
"fast foods, fried chicken, thigh, meat and skin and breading","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"fast foods, grilled chicken filet sandwich, with lettuce, tomato and spread",False
"bologna, meat and poultry","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"bologna, beef, low fat",False
"fast foods, submarine sandwich, sweet onion chicken teriyaki on white bread with lettuce, tomato and sweet onion sauce","fast foods, grilled chicken filet sandwich, with lettuce, tomato and spread",food_matches_1001_to_2000.txt,"fast foods, submarine sandwich, with cold cuts",False
"crackers, water biscuits","cookies, animal crackers (includes arrowroot, tea biscuits)",food_matches_1001_to_2000.txt,"crackers, rusk toast",False
"lamb, rib, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled","beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8""fat, choice, cooked, broiled",food_matches_1001_to_2000.txt,"beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8""fat, choice, cooked, broiled",True
"beverages, rice milk, unsweetened","beverages, almond milk, unsweetened, shelf stable",food_matches_1001_to_2000.txt,"beverages, almond milk, unsweetened, shelf stable",True
"beverages, tea, instant, decaffeinated, unsweetened","tea, black, brewed, prepared with tap water, decaffeinated",food_matches_1001_to_2000.txt,"beverages, tea, hibiscus, brewed",False
"chicken, broilers or fryers, skin only, raw","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",food_matches_1001_to_2000.txt,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",True
"mango, dried, sweetened","cranberries, dried, sweetened",food_matches_1001_to_2000.txt,purple mangosteen,False
"turkey, whole, neck, meat only, cooked, simmered","turkey, whole, meat only, raw",food_matches_1001_to_2000.txt,"turkey, whole, meat only, raw",True
"bread, roll, mexican, bollilo","bread, white, commercially prepared (includes soft bread crumbs)",food_matches_1001_to_2000.txt,"bread, refined flour",False
"dip, bean, original flavor","snacks, fritolay, sunchips, multigrain snack, original flavor",food_matches_1001_to_2000.txt,"lima bean, dehulled, raw",False
"beverages, coffee, instant, mocha, sweetened","coffee, instant, regular, powder",food_matches_1001_to_2000.txt,"coffee, instant, powder",False
"roast beef, deli style, prepackaged, sliced","beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",food_matches_1001_to_2000.txt,"roastbeef, sliced",False
"sausage, breakfast sausage, beef, pre-cooked, unprepared","sausage, pork and beef, with cheddar cheese, smoked",food_matches_1001_to_2000.txt,"sausage, pork and beef, with cheddar cheese, smoked",True
"milk, chocolate, fat free, with added vitamin a and vitamin d","milk, chocolate, fluid, commercial, reduced fat, with added vitamin a and vitamin d",food_matches_1001_to_2000.txt,"milk, chocolate, fluid, commercial, lowfat, with added vitamin a and vitamin d",False
"beverages, energy drink, monster, fortified with vitamins c, b2, b3, b6, b12","beverages, coconut milk, sweetened, fortified with calcium, vitamins a, b12, d2",food_matches_1001_to_2000.txt,"energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12",False
"beverages, energy drink, red bull","energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12",food_matches_1001_to_2000.txt,"energy drink, rockstar",False
"dip, salsa con queso, cheese and salsa- medium","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"campbell soup company, pace, salsa refried beans",False
"whey, sweet, dried","whey, sweet, dried",food_matches_1001_to_2000.txt,"whey, sweet, dried",True
"schiff,tiger's milk bar","protein supplement, milk based, muscle milk, powder",food_matches_1001_to_2000.txt,"snacks, clif bar, mixed flavors",False
"fast foods, fried chicken, breast, meat only, skin and breading removed","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, flesh and skin, battered, deepfried",False
"fast foods, chicken, breaded and fried, boneless pieces, plain","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, flesh and skin, battered, deepfried",False
"beverages, yellow green colored citrus soft drink with caffeine","energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12",food_matches_1001_to_2000.txt,"carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",False
"sausage, egg and cheese breakfast biscuit","fast foods, griddle cake sandwich, egg, cheese, and sausage",food_matches_1001_to_2000.txt,"fast foods, biscuit, with egg and sausage",False
"taquitos, frozen, beef and cheese, oven-heated","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"burrito, bean and cheese, frozen",False
"reduced sodium: chicken breast, deli, rotisserie seasoned, sliced, prepackaged","chicken, breast, boiled, sliced",food_matches_1001_to_2000.txt,"chicken, flesh and skin, battered, deepfried",False
"beverages, coconut water, ready-to-drink, unsweetened","nuts, coconut water (liquid from coconuts)",food_matches_1001_to_2000.txt,"nuts, coconut water (liquid from coconuts)",True
"fast foods, fried chicken, drumstick, meat only, skin and breading removed","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, flesh and skin, battered, deepfried",False
"reduced sodium: ham, sliced, pre-packaged, deli meat (96%fat free, water added)","ham, sliced, prepackaged (96% fat free, water added)",food_matches_1001_to_2000.txt,"ham, sliced, prepackaged (96% fat free, water added)",True
"fast foods, breadstick, soft, prepared with garlic and parmesan cheese","fast foods, taco with beef, cheese and lettuce, soft",food_matches_1001_to_2000.txt,"garlic bread, frozen",False
"cereals ready-to-eat, nature's path, organic flax plus, pumpkin granola","cereals ready-to-eat, nature's path, optimum",food_matches_1001_to_2000.txt,"cereals ready-to-eat, quaker, sun country granola with almonds",False
"cookie, butter or sugar, with chocolate icing or filling","cookies, chocolate sandwich, with creme filling, regular",food_matches_1001_to_2000.txt,"cookies, chocolate sandwich, with extra creme filling",False
"sauce, peanut, made from peanut butter, water, soy sauce",soy sauce made from soy and wheat (shoyu),food_matches_1001_to_2000.txt,soy sauce made from soy and wheat (shoyu),True
"beverages, protein powder whey based","protein supplement, milk based, muscle milk, powder",food_matches_1001_to_2000.txt,"whey, sweet, dried",False
"beverages, the coca-cola company, nos energy drink, original, grape, loaded cherry, charged citrus, fortified with vitamins b6 and b12","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12",False
"beverages, slimfast, meal replacement,  high protein shake, ready-to-drink, 3-2-1 plan","sports drink, coca-cola, powerade, lemon-lime flavored, ready-to-drink",food_matches_1001_to_2000.txt,"protein supplement, milk based, muscle milk light, powder",False
"alcoholic beverage, malt beer, hard lemonade","alcoholic beverage, beer, regular, all",food_matches_1001_to_2000.txt,"alcoholic beverage, beer, regular, all",True
"candies, m&m mars pretzel chocolate candies","candies, mars snackfood us, m&m's peanut chocolate candies",food_matches_1001_to_2000.txt,"candies, mars snackfood us, m&m's milk chocolate candies",False
"bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca","bread, cornbread, prepared from recipe, made with low fat (2%) milk",food_matches_1001_to_2000.txt,"bread, cornbread, prepared from recipe, made with low fat (2%) milk",True
"yellow rice with seasoning, dry packet mix, unprepared","gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water",food_matches_1001_to_2000.txt,"rice, white, long-grain, precooked or instant, enriched, prepared",False
"cookie, with peanut butter filling, chocolate-coated","crackers, standard snack-type, sandwich, with peanut butter filling",food_matches_1001_to_2000.txt,"cookies, peanut butter, refrigerated dough",False
"lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled","beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",food_matches_1001_to_2000.txt,"lamb, leg, defatted, raw",False
"beverages, abbott, ensure, nutritional shake, ready-to-drink","sports drink, coca-cola, powerade, lemon-lime flavored, ready-to-drink",food_matches_1001_to_2000.txt,"ensure plus, liquid nutrition",False
"lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted","beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",food_matches_1001_to_2000.txt,"lamb, leg with fat, raw",False
"lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted","beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",food_matches_1001_to_2000.txt,"lambs quarters, cooked, boiled, drained, with salt",False
"candies, toblerone, milk chocolate with honey and almond nougat","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"candies, milk chocolate, with rice cereal",False
"syrup, fruit flavored","fruit flavored drink containing less than 3% fruit juice, with high vitamin c",food_matches_1001_to_2000.txt,"syrups, corn, high-fructose",False
"fast foods, fried chicken, thigh, meat only, skin and breading removed","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,"chicken, flesh and skin, battered, deepfried",False
"sweetener, herbal extract powder from stevia leaf","sweeteners, tabletop, fructose, dry, powder",food_matches_1001_to_2000.txt,"sweeteners, tabletop, fructose, dry, powder",True
"potsticker or wonton, pork and vegetable, frozen, unprepared","fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",food_matches_1001_to_2000.txt,wonton wrappers (includes egg roll wrappers),False
"beverages, cytosport, muscle milk, ready-to-drink","protein supplement, milk based, muscle milk, powderus, brewed",food_matches_1001_to_2000.txt,"protein supplement, milk based, muscle milk light, powder",False
"pasta, whole-wheat, cooked (includes foods for usda's food distribution program)","cheese, cheddar (includes foods for usda's food distribution program)",food_matches_1001_to_2000.txt,"pasta, whole grain",False
"beverages, tea, instant, lemon, sweetened, powder","beverage, instant breakfast powder, chocolate, not reconstituted",food_matches_1001_to_2000.txt,"beverages, tea, herb, other than chamomile, brewed",False
"beverages, tea, instant, lemon, unsweetened","beverages, tea, hibiscus, brewed",food_matches_1001_to_2000.txt,"beverages, tea, herb, other than chamomile, brewed",False
"pepper, banana, raw","peppers, sweet, red, raw",food_matches_601_to_800.txt,"pepper, banana, raw",False
"lasagna with meat & sauce, frozen entree","lasagna, cheese, frozen, prepared",food_matches_601_to_800.txt,"lasagna with meat & sauce, frozen entree",False
"bread, oatmeal","bread, oatmeal, dry mix, prepared per recipe",food_matches_601_to_800.txt,"bread, oatmeal",False
"salad dressing, mayonnaise, light","salad dressing, mayonnaise, light",food_matches_601_to_800.txt,"salad dressing, mayonnaise, light",True
"salad dressing, poppyseed, creamy","salad dressing, poppyseed, creamy",food_matches_601_to_800.txt,"salad dressing, poppyseed, creamy",True
"gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water","gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water",food_matches_601_to_800.txt,"gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water",True
"butter replacement, without fat, powder","butter replacement, without fat, powder",food_matches_601_to_800.txt,"butter replacement, without fat, powder",True
"cake, pound, commercially prepared, butter (includes fresh and frozen)","cake, pound, commercially prepared, butter (includes fresh and frozen)",food_matches_601_to_800.txt,"cake, pound, commercially prepared, butter",False
"corn dogs, frozen, prepared","corn dogs, frozen, prepared",food_matches_601_to_800.txt,"corn dogs, frozen, prepared",True
"soup, vegetarian vegetable, canned, condensed","soup, vegetarian vegetable, canned, condensed",food_matches_601_to_800.txt,"soup, vegetarian vegetable, canned, condensed",True
"beverages, carbonated, sprite, lemon-lime, without caffeine","beverages, carbonated, sprite, lemon-lime, without caffeine",food_matches_601_to_800.txt,"carbonated beverage, sprite, lemon-lime, without caffeine",False
"beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned","beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",food_matches_601_to_800.txt,"beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",True
"fast food, pizza chain, 14"" pizza, sausage topping, regular crust","fast food, pizza chain, 14"" pizza, sausage topping, regular crust",food_matches_601_to_800.txt,"fast food, pizza chain, 14"" pizza, sausage topping, regular crust",True
"snacks, granola bar, quaker, dipps, all flavors","snacks, granola bar, quaker, dipps, all flavors",food_matches_601_to_800.txt,"snacks, granola bar, quaker, dipps, all flavors",True
"snacks, granola bars, quaker oatmeal to go, all flavors","snacks, granola bars, quaker oatmeal to go, all flavors",food_matches_601_to_800.txt,"snacks, granola bars, quaker oatmeal to go, all flavors",True
"fish, tuna, fresh, yellowfin, raw","fish, tuna, fresh, yellowfin, raw",food_matches_601_to_800.txt,"fish, tuna, fresh, yellowfin, raw",True
"syrups, table blends, pancake, reduced-calorie","syrups, table blends, pancake, reduced-calorie",food_matches_601_to_800.txt,"syrups, table blends, pancake, reduced-calorie",True
